,id,company,industries,hq,founded date,last funding date,last funding amount,last funding type,total funding amount,status
3093,3093,Confirm.io,"Information Technology, Privacy and Security","Boston, Massachusetts, United States",1/1/15,6/30/15,4000000,Seed,4000000,Operating
3094,3094,CloudMGR,"Information Technology, Software, Internet Services","San Francisco, California, United States",1/1/12,7/1/15,1000000,Seed,1445104,Was Acquired
3101,3101,Wayerz - Optimizing Wires. Worldwide,Financial Services,"New York, New York, United States",1/1/14,7/1/15,2000000,Seed,2400000,Operating
3106,3106,Vizo News,"Media and Entertainment, Information Technology, Content and Publishing","New York, New York, United States",7/1/14,7/1/15,750000,Seed,1125000,Operating
3107,3107,Virtkick,"Hardware, Information Technology, Software, Internet Services","San Antonio, Texas, United States",11/1/14,7/1/15,1000000,Seed,2000000,Operating
3126,3126,Snap Trends,"Media and Entertainment, Software, Internet Services","Austin, Texas, United States",6/1/12,7/2/15,325005,Seed,1125005,Operating
3131,3131,Good Day Chocolate,Food and Beverage,"Boulder, Colorado, United States",1/1/12,7/6/15,1250000,Seed,1250000,Operating
3133,3133,StatMuse,"Science and Engineering, Information Technology, Data and Analytics, Software, Sports, Internet Services, Artificial Intelligence","San Francisco, California, United States",1/1/14,7/6/15,1750000,Seed,11750000,Operating
3136,3136,Curely,"Health Care, Mobile","Newport Beach, California, United States",6/18/14,7/6/15,2000000,Seed,2000000,Operating
3138,3138,ShiftLabs,"Health Care, Design","Seattle, Washington, United States",1/1/12,7/7/15,1219500,Seed,1219500,Operating
3141,3141,Roniin,Commerce and Shopping,"Princeton, New Jersey, United States",1/1/14,7/8/15,3000000,Seed,3000000,Operating
3142,3142,Neokami Inc.,"Science and Engineering, Hardware, Information Technology, Data and Analytics, Software, Privacy and Security, Artificial Intelligence","New York, New York, United States",8/1/14,7/8/15,1100000,Seed,1100000,Was Acquired
3143,3143,Adored,"Apps, Software, Sales and Marketing, Advertising","Manchester, New Hampshire, United States",9/1/14,7/8/15,2300000,Seed,2300000,Operating
3148,3148,Deliveright,"Information Technology, Administrative Services, Consumer Goods","Bayonne, New Jersey, United States",8/15/13,7/9/15,1450000,Seed,2350000,Operating
3149,3149,"ReferralMob, Inc.","Administrative Services, Professional Services","Boston, Massachusetts, United States",1/1/15,7/9/15,2000000,Seed,2000000,Operating
3154,3154,Flock (helloflock.com),"Apps, Software, Professional Services, Internet Services","San Francisco, California, United States",1/1/15,7/13/15,2000000,Seed,2000000,Operating
3158,3158,HelloShopper,"Commerce and Shopping, Internet Services","Boston, Massachusetts, United States",8/1/14,7/14/15,3600000,Seed,3600000,Operating
3163,3163,Expanded.IO,"Information Technology, Data and Analytics","Chandler, Arizona, United States",1/1/14,7/15/15,2500000,Seed,2500000,Closed
3167,3167,room.me,"Platforms, Navigation and Mapping, Real Estate, Data and Analytics, Software, Internet Services, Mobile","San Francisco, California, United States",7/1/14,7/15/15,1100000,Seed,1100000,Was Acquired
3170,3170,"CreateTV, INC","Media and Entertainment, Music and Audio","Los Angeles, California, United States",1/5/15,7/15/15,2250000,Seed,2250000,Operating
3173,3173,Reesio,"Real Estate, Internet Services, Financial Services","San Francisco, California, United States",1/20/12,7/16/15,207500,Seed,1583500,Was Acquired
3174,3174,Kitchenbowl,"Food and Beverage, Software","Seattle, Washington, United States",1/1/13,7/16/15,400000,Seed,2400000,Was Acquired
3175,3175,Find My Audience,"Media and Entertainment, Data and Analytics, Content and Publishing","Boulder, Colorado, United States",2/1/14,7/16/15,1200000,Seed,2200000,Operating
3176,3176,Socrates Health Solutions,"Hardware, Software","Dallas, Texas, United States",1/1/13,7/17/15,450000,Seed,1735000,Operating
3177,3177,Pi Inc.,"Manufacturing, Hardware, Consumer Electronics","San Francisco, California, United States",1/1/15,7/17/15,3000000,Seed,3000000,Operating
3180,3180,"Besomebody, Inc.","Commerce and Shopping, Media and Entertainment, Education, Internet Services","Austin, Texas, United States",6/1/14,7/20/15,1000000,Seed,2000000,Operating
3181,3181,REX Computing,"Hardware, Consumer Electronics","Oakland, California, United States",1/1/13,7/21/15,1250000,Seed,1400000,Operating
3183,3183,Lendeavor,Financial Services,"San Francisco, California, United States",1/1/14,7/22/15,1500000,Seed,2025000,Operating
3184,3184,BetterIt Communications,"Apps, Software, Internet Services, Mobile","Denver, Colorado, United States",1/1/14,7/22/15,3000000,Seed,3000000,Operating
3189,3189,OfferLogic,"Media and Entertainment, Software, Sales and Marketing","Waltham, Massachusetts, United States",6/1/12,7/24/15,1600000,Seed,1600000,Operating
3192,3192,ISOThrive,"Food and Beverage, Health Care","Healdsburg, California, United States",1/1/13,7/25/15,800000,Seed,2200000,Operating
3195,3195,Victiv,"Gaming, Sports","Austin, Texas, United States",2/24/14,7/27/15,2540000,Seed,5240000,Was Acquired
3197,3197,Blueboard,"Community and Lifestyle, Software, Health Care","San Francisco, California, United States",7/1/13,7/28/15,2000000,Seed,2075000,Operating
3199,3199,Beme,"Apps, Media and Entertainment, Software, Video","New York, New York, United States",1/1/15,7/28/15,2000000,Seed,2000000,Was Acquired
3200,3200,Blockspring,Software,"San Francisco, California, United States",1/1/14,7/29/15,3400000,Seed,3520000,Operating
3203,3203,WITS(MD),"Software, Health Care","Middleton, Wisconsin, United States",1/1/13,7/30/15,1600000,Seed,1600000,Operating
3204,3204,PersistIQ,"Information Technology, Software, Sales and Marketing","San Mateo, California, United States",1/1/14,7/30/15,1700000,Seed,1820000,Operating
3206,3206,Vyance,"Hardware, Internet Services, Mobile","Plantation, Florida, United States",5/1/14,7/30/15,1250000,Seed,1250000,Operating
3213,3213,Vantage Sports,"Data and Analytics, Sports","Seattle, Washington, United States",1/1/12,8/1/15,2000000,Seed,4300000,Operating
3217,3217,"Graava, Inc.",Software,"Mountain View, California, United States",1/1/14,8/1/15,1500000,Seed,2250000,Operating
3221,3221,mydiveo,"Apps, Media and Entertainment, Music and Audio, Software","West Hollywood, California, United States",12/23/14,8/1/15,2500000,Seed,4000000,Was Acquired
3230,3230,FEM Inc.,"Media and Entertainment, Video, Content and Publishing","San Francisco, California, United States",9/16/12,8/3/15,3000000,Seed,3120000,Operating
3235,3235,Tripangel,Software,"Las Vegas, Nevada, United States",3/6/14,8/4/15,1100000,Seed,1100000,Operating
3237,3237,BRIGHT,"Natural Resources, Energy, Sustainability, Financial Services","San Francisco, California, United States",4/9/14,8/4/15,4000000,Seed,4120000,Operating
3240,3240,Spritz,"Information Technology, Software, Mobile","Salt Lake City, Utah, United States",1/1/12,8/5/15,735001,Seed,4275001,Operating
3241,3241,Nixie Labs,"Science and Engineering, Hardware, Media and Entertainment, Software, Content and Publishing","Palo Alto, California, United States",1/1/14,8/5/15,5000000,Seed,5000000,Operating
3242,3242,Statisfy,"Commerce and Shopping, Sales and Marketing, Mobile, Advertising","Boston, Massachusetts, United States",8/22/14,8/5/15,398609,Seed,1798609,Operating
3245,3245,Xooker,"Gaming, Hardware, Information Technology, Software, Sales and Marketing, Internet Services, Messaging and Telecommunications, Mobile","Lexington, Kentucky, United States",3/16/13,8/6/15,1850000,Seed,3250000,Operating
3247,3247,SNOBSWAP,"Commerce and Shopping, Clothing and Apparel, Design","Washington, District of Columbia, United States",1/1/13,8/8/15,1000000,Seed,1967400,Operating
3251,3251,"Avi-on Labs, Inc.","Hardware, Sustainability, Consumer Electronics, Real Estate, Internet Services","Park City, Utah, United States",1/1/14,8/10/15,2015133,Seed,3715133,Operating
3254,3254,Skipper (Formerly Jetaport),Travel and Tourism,"New York, New York, United States",6/1/12,8/11/15,3463905,Seed,3788905,Operating
3257,3257,VOIQ,"Information Technology, Data and Analytics, Software, Sales and Marketing","San Francisco, California, United States",7/1/14,8/11/15,2000000,Seed,2020000,Operating
3258,3258,PaidEasy,"Apps, Software, Payments, Financial Services, Mobile","New York, New York, United States",8/1/14,8/11/15,2000000,Seed,2000000,Operating
3260,3260,DispatchHealth,Health Care,"Denver, Colorado, United States",1/1/13,8/12/15,3600000,Seed,3600000,Operating
3261,3261,Findyr,"Navigation and Mapping, Information Technology, Data and Analytics","New York, New York, United States",1/1/14,8/12/15,2500000,Seed,2500000,Operating
3265,3265,MapJam,"Navigation and Mapping, Data and Analytics, Internet Services","San Francisco, California, United States",11/19/12,8/14/15,950000,Seed,1720000,Operating
3268,3268,onstream,"Hardware, Information Technology, Consumer Electronics, Software","Reno, Nevada, United States",3/1/15,8/14/15,2000000,Seed,2000000,Operating
3269,3269,InSpeed Networks,"Hardware, Software, Internet Services","Mountain View, California, United States",6/1/15,8/14/15,2000000,Seed,2000000,Operating
3271,3271,Sweigh,"Media and Entertainment, Internet Services","Centerport, New York, United States",10/1/13,8/15/15,350000,Seed,1180000,Was Acquired
3272,3272,Draftpot,"Gaming, Sports, Internet Services","New York, New York, United States",12/1/14,8/15/15,2200000,Seed,2200000,Was Acquired
3280,3280,Plantbid,"Real Estate, Internet Services","Madisonville, Louisiana, United States",1/1/12,8/18/15,411000,Seed,1312400,Operating
3282,3282,Wake,"Apps, Information Technology, Software, Mobile","San Francisco, California, United States",10/1/13,8/18/15,3800000,Seed,3800000,Operating
3285,3285,Bright Cellars,"Food and Beverage, Community and Lifestyle","Cambridge, Massachusetts, United States",1/1/14,8/18/15,2000000,Seed,2020000,Operating
3291,3291,Synap,Software,"Chicago, Illinois, United States",1/1/14,8/20/15,2000000,Seed,2000000,Operating
3292,3292,AppInsight,"Information Technology, Privacy and Security, Mobile","Cambridge, Massachusetts, United States",5/19/15,8/20/15,2300000,Seed,2300000,Operating
3296,3296,Unbill,"Apps, Software, Financial Services","Austin, Texas, United States",1/1/13,8/24/15,1400000,Seed,1400000,Was Acquired
3298,3298,Quaero,"Media and Entertainment, Data and Analytics","Charlotte, North Carolina, United States",1/1/14,8/24/15,1500000,Seed,4100000,Was Acquired
3307,3307,Cypherpath Inc.,"Hardware, Information Technology, Software, Internet Services, Privacy and Security","Mountain View, California, United States",6/20/13,8/25/15,2350000,Seed,3250000,Operating
3310,3310,Qbox.io,"Commerce and Shopping, Data and Analytics, Software, Internet Services","Fayetteville, Arkansas, United States",5/1/12,8/26/15,2400000,Seed,2978333,Operating
3311,3311,HelloTel,"Apps, Software, Internet Services, Mobile","Chico, California, United States",1/1/14,8/26/15,2000000,Seed,2500000,Operating
3312,3312,Cintric,"Navigation and Mapping, Data and Analytics, Software, Internet Services","Oakland, California, United States",1/1/14,8/26/15,500000,Seed,2017567,Was Acquired
3313,3313,Lugg,"Apps, Media and Entertainment, Software, Mobile","San Francisco, California, United States",6/1/14,8/26/15,3800000,Seed,3800000,Operating
3314,3314,Commerce Sciences,"Commerce and Shopping, Sales and Marketing, Advertising","Palo Alto, California, United States",1/1/12,8/27/15,4000000,Seed,5800000,Was Acquired
3318,3318,Confident Cannabis,"Commerce and Shopping, Food and Beverage, Data and Analytics, Community and Lifestyle, Health Care","Palo Alto, California, United States",5/1/15,8/27/15,3000000,Seed,3000000,Operating
3326,3326,SpareHire,Software,"San Francisco, California, United States",4/1/13,8/31/15,1000000,Seed,1750000,Operating
3327,3327,Wiselike,"Media and Entertainment, Community and Lifestyle, Professional Services, Education","San Francisco, California, United States",1/1/15,8/31/15,1250000,Seed,1250000,Operating
3333,3333,Doorman,"Apps, Commerce and Shopping, Software, Transportation, Mobile","San Francisco, California, United States",1/1/13,9/1/15,1500000,Seed,3371250,Operating
3336,3336,Satya Media Group,"Hardware, Information Technology, Software, Internet Services, Messaging and Telecommunications","Florida, New York, United States",1/1/13,9/1/15,1000000,Seed,1047500,Operating
3340,3340,French Girls,"Media and Entertainment, Content and Publishing, Mobile","San Francisco, California, United States",2/24/13,9/1/15,4500000,Seed,5535000,Operating
3346,3346,Transcend Lighting,"Agriculture and Farming, Manufacturing, Energy, Hardware, Sustainability","New York, New York, United States",1/1/14,9/1/15,1100000,Seed,1100000,Operating
3361,3361,Gluent Inc.,,"Dallas, Texas, United States",12/1/14,9/1/15,5700000,Seed,5700000,Operating
3365,3365,Mercato,"Commerce and Shopping, Food and Beverage","New York, New York, United States",1/1/15,9/1/15,1200000,Seed,1200000,Operating
3372,3372,BlueCrew,"Administrative Services, Professional Services","San Francisco, California, United States",1/16/15,9/1/15,2500000,Seed,3220000,Operating
3374,3374,NextLesson,Education,"San Francisco, California, United States",1/1/13,9/2/15,2900000,Seed,2900000,Operating
3376,3376,Databox,"Data and Analytics, Mobile","Cambridge, Massachusetts, United States",1/1/12,9/3/15,3300000,Seed,3918000,Operating
3382,3382,ROOY,"Community and Lifestyle, Clothing and Apparel, Design","Seattle, Washington, United States",1/17/14,9/4/15,3400000,Seed,3400000,Operating
3386,3386,Polku,"Sports, Health Care","New York, New York, United States",1/1/12,9/7/15,1000000,Seed,1999440,Was Acquired
3387,3387,Getintent,"Data and Analytics, Software, Sales and Marketing, Artificial Intelligence, Advertising","New York, New York, United States",1/1/13,9/7/15,1000000,Seed,1400000,Operating
3388,3388,Canopy,"Information Technology, Software","Raleigh, North Carolina, United States",1/1/14,9/9/15,1500000,Seed,1909535,Operating
3391,3391,Skry,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","Palo Alto, California, United States",1/1/14,9/10/15,1100000,Seed,1100000,Was Acquired
3392,3392,Case,"Biotechnology, Science and Engineering, Data and Analytics, Software, Payments, Financial Services","Rochester, New York, United States",1/1/14,9/10/15,1000000,Seed,2250000,Operating
3394,3394,Coinalytics Co.,"Data and Analytics, Software, Payments, Financial Services","Palo Alto, California, United States",4/17/14,9/10/15,1100000,Seed,1300000,Operating
3395,3395,AppCow,"Apps, Commerce and Shopping, Information Technology, Software, Sales and Marketing, Mobile","New York, New York, United States",7/15/14,9/10/15,1000000,Seed,2045000,Operating
3399,3399,EverCharge,"Energy, Sustainability, Transportation","San Francisco, California, United States",1/1/13,9/11/15,1400000,Seed,1850000,Operating
3401,3401,Chexology,"Media and Entertainment, Information Technology, Events","New York, New York, United States",7/1/15,9/11/15,1200000,Seed,1200000,Operating
3404,3404,AnswerDash,"Information Technology, Software","Seattle, Washington, United States",1/1/12,9/14/15,2900000,Seed,5440000,Operating
3407,3407,Furlocity,"Travel and Tourism, Commerce and Shopping","Schenectady, New York, United States",3/20/12,9/15/15,300000,Seed,1545000,Operating
3408,3408,Roominate,"Gaming, Science and Engineering, Consumer Goods, Education","Santa Clara, California, United States",1/1/12,9/15/15,1000000,Seed,3000000,Operating
3410,3410,Art Craft Entertainment,"Gaming, Media and Entertainment","Austin, Texas, United States",1/1/13,9/15/15,150000,Seed,2500000,Operating
3412,3412,Buddytruk,"Software, Mobile","Santa Monica, California, United States",10/15/13,9/15/15,325000,Seed,1281000,Operating
3415,3415,Source3,"Media and Entertainment, Software, Professional Services","New York, New York, United States",10/2/14,9/15/15,4000000,Seed,4000000,Was Acquired
3424,3424,Sidewire,Government and Military,"San Francisco, California, United States",1/1/14,9/16/15,4850000,Seed,4850000,Operating
3425,3425,Book. Stay. Go.,"Travel and Tourism, Commerce and Shopping, Mobile","San Francisco, California, United States",7/4/14,9/16/15,1000000,Seed,1030000,Operating
3429,3429,SimplyCredit,"Data and Analytics, Software, Financial Services, Artificial Intelligence","San Francisco, California, United States",1/1/15,9/17/15,1500000,Seed,1500000,Operating
3431,3431,BDS Analytics,"Data and Analytics, Design","Boulder, Colorado, United States",1/1/15,9/17/15,1500000,Seed,1520000,Operating
3432,3432,Padlet,"Software, Internet Services, Design","San Francisco, California, United States",1/1/12,9/18/15,1200000,Seed,1640000,Operating
3437,3437,INSTO,"Payments, Financial Services","San Jose, California, United States",10/3/13,9/20/15,1700000,Seed,2000000,Operating
3441,3441,Keecker,"Platforms, Science and Engineering, Hardware, Software, Mobile","San Francisco, California, United States",9/18/12,9/22/15,1400000,Seed,2812000,Operating
3442,3442,UniqueSound,"Media and Entertainment, Music and Audio","New York, New York, United States",9/1/14,9/22/15,1000000,Seed,1100000,Operating
3446,3446,Clinicloud,"Health Care, Internet Services, Mobile","San Francisco, California, United States",1/1/14,9/23/15,5000000,Seed,5000000,Operating
3449,3449,Purism,"Platforms, Hardware, Information Technology, Consumer Electronics, Software, Privacy and Security, Mobile","South San Francisco, California, United States",11/1/14,9/24/15,850000,Seed,2502015,Operating
3450,3450,Arrikto,Software,"Palo Alto, California, United States",1/1/15,9/24/15,2000000,Seed,2000000,Operating
3451,3451,Din,Food and Beverage,"San Mateo, California, United States",7/1/14,9/25/15,3000000,Seed,3000000,Closed
3453,3453,Shoto,"Media and Entertainment, Software, Content and Publishing","San Francisco, California, United States",1/1/13,9/26/15,1500000,Seed,1750000,Operating
3455,3455,Safe Cash,"Travel and Tourism, Internet Services","San Francisco, California, United States",1/1/14,9/29/15,1200000,Seed,1200000,Operating
3456,3456,Interviewed,"Professional Services, Education","San Francisco, California, United States",1/1/14,9/29/15,2000000,Seed,2000000,Was Acquired
3457,3457,"DeuteRx,LLC","Biotechnology, Science and Engineering, Health Care","Andover, Massachusetts, United States",1/1/12,9/30/15,2800000,Seed,2800000,Operating
3459,3459,NodePrime,"Hardware, Information Technology, Data and Analytics, Software, Internet Services, Artificial Intelligence","San Francisco, California, United States",2/4/13,9/30/15,7000000,Seed,8500000,Was Acquired
3465,3465,75F,"Energy, Sustainability, Real Estate, Internet Services","Burnsville, Minnesota, United States",1/1/12,10/1/15,2000000,Seed,2855000,Operating
3466,3466,Alice Technologies,Real Estate,"Palo Alto, California, United States",1/1/13,10/1/15,2069602,Seed,2419533,Operating
3471,3471,Card Isle,"Hardware, Commerce and Shopping, Software, Financial Services","Blacksburg, Virginia, United States",10/1/13,10/1/15,600000,Seed,1080000,Operating
3476,3476,Guardhat Technologies,"Manufacturing, Science and Engineering, Hardware, Consumer Electronics, Data and Analytics","Southfield, Michigan, United States",1/1/14,10/1/15,5000000,Seed,5000000,Operating
3479,3479,Lightstream,"Gaming, Media and Entertainment, Video, Content and Publishing","Chicago, Illinois, United States",10/2/14,10/1/15,1830000,Seed,1830000,Operating
3490,3490,.io,Data and Analytics,"Alexandria, Virginia, United States",3/1/15,10/1/15,1500000,Seed,1500000,Operating
3493,3493,Hyperfish,"Software, Internet Services","Kirkland, Washington, United States",10/1/15,10/1/15,5000000,Seed,5000000,Operating
3496,3496,Honest Dollar,Financial Services,"Austin, Texas, United States",11/21/14,10/2/15,3000000,Seed,3000000,Was Acquired
3499,3499,ReplyBuy,"Science and Engineering, Information Technology, Data and Analytics, Software, Payments, Internet Services, Financial Services, Messaging and Telecommunications, Artificial Intelligence, Mobile","Scottsdale, Arizona, United States",10/3/12,10/5/15,2000000,Seed,2940000,Operating
3507,3507,AdmitSee,"Commerce and Shopping, Data and Analytics, Education","San Francisco, California, United States",6/1/14,10/6/15,1800000,Seed,2150000,Operating
3509,3509,Pantry,"Hardware, Commerce and Shopping, Software","San Francisco, California, United States",1/1/12,10/7/15,1000000,Seed,2300000,Was Acquired
3510,3510,Paribus,"Commerce and Shopping, Data and Analytics, Software, Internet Services","New York, New York, United States",1/1/14,10/7/15,2100000,Seed,2220000,Was Acquired
3513,3513,CoachMePlus,Health Care,"Buffalo, New York, United States",1/2/13,10/8/15,600000,Seed,1600000,Operating
3518,3518,Elecyr Corporation,Sustainability,"Dover, New Hampshire, United States",6/1/13,10/10/15,550000,Seed,1025000,Operating
3520,3520,Kuddly,"Health Care, Mobile","Newport Beach, California, United States",1/2/15,10/10/15,1500000,Seed,1500000,Operating
3525,3525,Boostinsider,"Media and Entertainment, Sales and Marketing, Internet Services","Burlingame, California, United States",1/1/14,10/12/15,1500000,Seed,1500000,Operating
3527,3527,ROIKOI,"Software, Professional Services","Austin, Texas, United States",1/1/13,10/13/15,1900000,Seed,1900000,Operating
3528,3528,MiNDERA Corporation,Health Care,"South San Francisco, California, United States",12/1/13,10/13/15,1000000,Seed,2100000,Operating
3529,3529,DJs.com,"Media and Entertainment, Music and Audio, Events","Colmar, Pennsylvania, United States",9/1/14,10/13/15,1250000,Seed,1250000,Closed
3530,3530,Chime,"Media and Entertainment, Information Technology, Internet Services, Video, Messaging and Telecommunications","San Francisco, California, United States",5/1/14,10/13/15,1200000,Seed,1200000,Operating
3533,3533,Roostify,"Real Estate, Software, Internet Services","San Francisco, California, United States",1/1/12,10/15/15,500000,Seed,8000000,Operating
3534,3534,VidMob,"Media and Entertainment, Video","New York, New York, United States",1/1/14,10/15/15,2500000,Seed,2500000,Operating
3536,3536,Parent Co.,"Apps, Community and Lifestyle, Software, Mobile","Burlington, Vermont, United States",1/1/14,10/15/15,1600000,Seed,5200000,Operating
3547,3547,AppSheet,"Apps, Software, Internet Services, Mobile","Seattle, Washington, United States",1/1/12,10/16/15,1500000,Seed,2015000,Operating
3549,3549,Cube26,"Hardware, Data and Analytics, Software, Artificial Intelligence","Santa Clara, California, United States",1/1/12,10/19/15,7700000,Seed,7700000,Operating
3551,3551,dfusion,Health Care,"Oakland, California, United States",7/15/14,10/19/15,1100000,Seed,1100000,Operating
3553,3553,Imply Data,"Information Technology, Data and Analytics, Software, Design","San Francisco, California, United States",1/1/15,10/19/15,2000000,Seed,2000000,Operating
3555,3555,The Right Place,"Information Technology, Health Care","Houston, Texas, United States",1/1/14,10/20/15,2000000,Seed,2000000,Operating
3556,3556,Outlearn,"Software, Education","Boston, Massachusetts, United States",10/1/14,10/20/15,2000000,Seed,4049999,Was Acquired
3558,3558,Squad,"Software, Mobile","New York, New York, United States",1/1/15,10/20/15,1700000,Seed,1700000,Operating
3559,3559,Curacity,"Commerce and Shopping, Media and Entertainment, Sales and Marketing","Manhattan, New York, United States",3/31/15,10/20/15,1500000,Seed,2250000,Operating
3560,3560,Ourglass,Internet Services,"Boston, Massachusetts, United States",1/1/12,10/21/15,1600000,Seed,1600000,Operating
3562,3562,Skills Fund,"Education, Financial Services, Lending and Investments","Austin, Texas, United States",4/1/15,10/21/15,11500000,Seed,11500000,Operating
3563,3563,Pairade,Media and Entertainment,"Chicago, Illinois, United States",6/1/15,10/21/15,1500000,Seed,1500000,Operating
3566,3566,Catfoxtail,Internet Services,"Durham, North Carolina, United States",1/1/14,10/22/15,1100000,Seed,1100000,Operating
3567,3567,Allay,Financial Services,"San Francisco, California, United States",1/1/14,10/22/15,3400000,Seed,3458000,Operating
3568,3568,Prescription Advisory Systems & Technology,Software,"Jenkintown, Pennsylvania, United States",1/1/13,10/23/15,1000000,Seed,1375000,Operating
3572,3572,Cricket's Circle,"Commerce and Shopping, Media and Entertainment","New York, New York, United States",1/1/14,10/23/15,2250000,Seed,4500000,Operating
3573,3573,Big Delta Systems,Energy,"Seabrook, Texas, United States",1/1/14,10/23/15,1000000,Seed,1150000,Operating
3576,3576,Xockets,Data and Analytics,"San Francisco, California, United States",1/1/12,10/25/15,1950000,Seed,2728000,Operating
3579,3579,ArtLifting,"Media and Entertainment, Government and Military, Privacy and Security","Cambridge, Massachusetts, United States",12/1/13,10/27/15,1100000,Seed,1100000,Operating
3580,3580,Kickoff,"Apps, Software, Mobile","New York, New York, United States",12/2/14,10/27/15,1600000,Seed,1600000,Was Acquired
3581,3581,HYPR,"Sales and Marketing, Internet Services, Advertising","New York, New York, United States",1/1/13,10/28/15,5000000,Seed,5000000,Operating
3582,3582,Localize,"Software, Sales and Marketing","San Francisco, California, United States",1/1/13,10/28/15,1200000,Seed,1300000,Operating
3583,3583,Wide Open Spaces,"Media and Entertainment, Community and Lifestyle, Sports","Austin, Texas, United States",9/1/13,10/28/15,1100000,Seed,1100000,Operating
3584,3584,ClientSuccess,Software,"American Fork, Utah, United States",2/18/14,10/28/15,2300000,Seed,3300000,Operating
3587,3587,Healthspek,"Hardware, Software","Nashville, Tennessee, United States",1/1/12,10/29/15,1250000,Seed,1250000,Operating
3589,3589,Sochat,"Apps, Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",1/1/14,10/29/15,2000000,Seed,2000000,Operating
3590,3590,Verge Genomics,"Biotechnology, Health Care","San Francisco, California, United States",1/1/15,10/29/15,4000000,Seed,4000000,Operating
3591,3591,Monclarity,"Sports, Health Care","Burlingame, California, United States",1/1/12,10/30/15,5000000,Seed,5000000,Operating
3593,3593,Paid,"Apps, Software, Financial Services","San Francisco, California, United States",1/1/14,10/30/15,1400000,Seed,2800000,Operating
3594,3594,Cinch,"Financial Services, Lending and Investments","New York, New York, United States",1/1/14,10/30/15,1400000,Seed,1400000,Operating
3597,3597,OneUni,"Hardware, Consumer Electronics, Education, Mobile","Oakland, California, United States",7/1/15,10/31/15,3500000,Seed,3500000,Operating
3598,3598,Switch Automation,"Information Technology, Sustainability, Real Estate, Data and Analytics, Software, Internet Services","San Francisco, California, United States",1/1/12,11/1/15,36000,Seed,1008233,Operating
3602,3602,Streamup,"Media and Entertainment, Information Technology, Music and Audio, Internet Services, Video, Content and Publishing, Messaging and Telecommunications","Santa Monica, California, United States",1/1/13,11/1/15,120000,Seed,1930000,Operating
3603,3603,Toymail Co.,"Health Care, Education","New York, New York, United States",11/1/13,11/1/15,120000,Seed,1620000,Operating
3605,3605,MailTime,"Information Technology, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",3/20/13,11/1/15,120000,Seed,3211250,Operating
3607,3607,Wemash,"Media and Entertainment, Community and Lifestyle, Video, Content and Publishing","Venice, California, United States",1/1/14,11/1/15,2500000,Seed,2500000,Operating
3609,3609,StyleBee,"Commerce and Shopping, Consumer Goods","Los Angeles, California, United States",1/1/14,11/1/15,120000,Seed,1120000,Operating
3610,3610,Stream,"Media and Entertainment, Software, Video, Content and Publishing, Mobile","Charleston, South Carolina, United States",1/1/14,11/1/15,6000000,Seed,6000000,Operating
3612,3612,Scout Finance,"Apps, Information Technology, Software, Financial Services, Mobile","New York, New York, United States",1/1/14,11/1/15,1750000,Seed,3450000,Operating
3617,3617,msg.ai,"Science and Engineering, Commerce and Shopping, Media and Entertainment, Data and Analytics, Software, Artificial Intelligence","Palo Alto, California, United States",10/1/14,11/1/15,2700000,Seed,2700000,Operating
3620,3620,Accordion Health,"Information Technology, Data and Analytics, Software, Health Care, Artificial Intelligence","Austin, Texas, United States",5/14/14,11/1/15,1000000,Seed,1150000,Closed
3625,3625,Social Standards,"Media and Entertainment, Data and Analytics, Software, Internet Services, Design","Oakland, California, United States",1/1/15,11/1/15,1000000,Seed,5300000,Operating
3630,3630,Narrativ,"Science and Engineering, Data and Analytics, Software, Sales and Marketing, Artificial Intelligence","New York, New York, United States",1/1/15,11/1/15,3000000,Seed,3000000,Operating
3638,3638,SPENT,"Financial Services, Mobile","New York, New York, United States",8/1/15,11/1/15,2000000,Seed,2000000,Operating
3644,3644,PingTank,"Platforms, Software, Internet Services, Mobile","Studio City, California, United States",2/1/14,11/2/15,450000,Seed,1535000,Operating
3645,3645,Broomly,Travel and Tourism,"Austin, Texas, United States",1/1/14,11/3/15,1300000,Seed,1300000,Operating
3646,3646,Premonition,"Science and Engineering, Information Technology, Data and Analytics, Software, Professional Services, Artificial Intelligence","Miami, Florida, United States",3/1/14,11/4/15,2000000,Seed,5000000,Operating
3648,3648,Blitz Esports,"Gaming, Apps, Software, Sports","San Francisco, California, United States",5/11/15,11/4/15,1950000,Seed,2130000,Operating
3651,3651,Mommy Nearest,"Media and Entertainment, Navigation and Mapping, Data and Analytics, Internet Services","New York, New York, United States",4/1/13,11/5/15,1500000,Seed,4350000,Operating
3652,3652,Biolytx Pharmaceuticals,Health Care,"Oklahoma City, Oklahoma, United States",1/1/12,11/6/15,1100000,Seed,1100000,Operating
3653,3653,MedSocket,Health Care,"Columbia, Missouri, United States",1/1/12,11/6/15,500000,Seed,1449000,Operating
3656,3656,"EyeBuy, Inc","Commerce and Shopping, Media and Entertainment, Sales and Marketing, Mobile","Sacramento, California, United States",12/13/13,11/7/15,1000000,Seed,1300000,Operating
3658,3658,AppVirality Inc,"Apps, Software, Mobile","Phoenix, Arizona, United States",1/1/14,11/8/15,500000,Seed,1464997,Operating
